,index,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50
0,patient5_A12,3.6367574,10.097281,-1.2478534,-1.7087568,0.6308159,0.285322,0.03427026,0.01626184,-0.0048375423,0.025052788,0.12013353,-0.17114219,0.06798942,-0.025096832,-0.019425144,0.16956782,-0.093542024,0.051253326,-0.11666577,0.06270704,0.0812929,-0.0031431713,-0.0023438253,0.0132310195,0.03331542,-0.048537243,-0.025151176,0.011853189,-0.030161899,-0.004812698,0.0004821237,-0.0068063103,0.0060311183,0.0068472116,-0.0054673194,0.0025207796,0.0014057015,-0.007450848,0.0065216394,-0.00045812328,-0.010821799,0.0041827923,0.005640321,-0.011384379,0.006998207,0.002641532,-0.0030260554,-0.000718601,0.00061868964,0.0046360414
1,patient5_A14,-8.329675,-1.7959602,-0.28973687,-0.13180897,0.008742591,0.021638943,0.20921917,0.16082966,-0.17688908,0.2611928,0.23906243,0.18261352,0.07547648,-0.19485636,-0.036127403,0.019156292,-0.013631191,-0.057869963,0.016271401,-0.010277617,0.0022373158,-0.0071623963,0.007364916,-0.0015073867,-0.007400987,-0.008052611,0.006899705,-0.0101110665,0.0012299891,-0.0039619748,0.00041193995,0.0025024686,0.005294625,0.0022593935,-0.0015057249,-0.0069821,-4.7602312e-05,-0.005259327,0.0016404322,0.006161198,-0.001320128,0.004255837,-0.0009013135,0.005220975,-0.0013950504,0.0026736269,6.5606466e-05,-0.0013798685,-0.0013835342,-0.0023003956
2,patient5_A20,-8.68857,-2.2996352,-0.77186143,-0.13509353,-0.0026324342,-0.08571115,0.6625455,0.33466938,-0.04600563,0.0564295,-0.42256916,-0.13555475,-0.023916716,0.16423376,0.14877355,0.0077203712,0.00095458276,0.085860126,0.006304075,0.0028458145,0.012570904,0.015685149,0.02448573,0.025343135,-0.020197669,-0.0046219705,-0.0059376834,0.001826673,-0.008900607,0.0025381104,0.0009374229,-0.013505281,0.00023782815,-0.005838578,0.022155575,0.0155713605,0.0049956995,0.0062964694,0.0046776915,0.0113842,-0.0028186382,0.0030411994,0.0038343586,0.0071212,0.001775635,-0.00036166902,-0.0014267475,-8.394502e-05,-0.0020199188,-0.0042794095
3,patient5_A22,-8.101674,-1.9986004,-0.9441816,-0.1538625,-0.04103738,-0.048258066,0.69500875,0.3597492,0.13559742,-0.14725676,-0.026042538,0.043009296,0.078293614,-0.12798819,0.08341647,-0.03444888,-0.020485066,0.053842645,-0.0632791,-0.010844711,-0.06541578,0.008462274,-0.071266845,-0.021270685,0.049288973,0.040810604,-0.015313964,0.025045654,0.0033789016,0.029682042,-0.0062791603,0.014047385,-0.012654695,0.009170881,-0.028022619,-0.016580295,-0.004829834,0.0020890753,-0.011080682,-0.026238501,0.001980883,-0.014934129,-0.006227716,-0.0150084775,0.002241269,-0.0048024026,-0.00015632709,-0.0008252247,0.0036271345,0.004945705
4,patient5_A4,-8.469484,-2.2138944,-0.31969512,-0.011268776,0.029923443,0.12407939,0.24439584,0.061176945,0.22486195,0.2872369,-0.23180045,0.16104166,0.16543423,-0.154169,0.23181003,0.047874045,-0.047819562,-0.0143906465,-0.01159837,-0.00060343865,-0.017373705,-0.004035345,-0.028356956,-0.0069834185,0.017737988,0.0074926093,-0.002763559,0.001359548,0.0016102482,-0.009310772,-0.0057134237,0.0097729005,0.0068691084,0.001790067,-0.011136943,-0.015885735,-0.0029319662,-0.005780241,0.0022961313,0.001459841,-0.0010216467,0.005904229,-0.0004078757,0.0066442313,-0.0001470037,0.0031880713,0.0015696359,-0.0004874839,-0.0013022039,0.0014822133
5,patient5_A5,2.0791929,10.070834,-2.4826405,3.6002138,-1.103497,-0.5016306,-0.031193106,0.032509707,0.026233394,0.022496462,0.010715816,-0.058953535,-0.016380098,-0.02199331,0.0010659538,0.034297317,-0.022528693,0.0154317375,0.021899732,0.04520243,-0.14217451,0.0496976,-0.027580084,0.005189141,-0.0031939037,-0.046288345,0.061414737,-0.03109303,-0.006051249,-0.018864896,0.0141437175,-0.0077126077,0.017958941,0.020945663,0.023651747,-0.015038215,-0.0041600587,0.010823836,-0.012658604,-0.027342003,0.0012470055,0.029862562,0.019986704,-0.013687281,0.00834522,-0.024583532,0.010918665,-0.0057044066,-0.00085263635,0.00033095613
6,patient5_A6,3.6394148,10.004059,-1.1976961,-1.6755373,0.56136686,0.26582676,-0.13135543,-0.08959054,0.09914984,0.07391201,0.043467995,-0.1086262,0.040810063,-0.049552098,0.046553653,-0.12852745,0.12438879,-0.026326034,0.16128723,0.015697222,-0.04036721,0.06855212,-0.028339077,0.031421803,-0.06475322,0.08518436,0.029173933,0.00483304,0.032242555,-0.004501858,0.024041457,0.0019243849,0.023746755,-0.02597169,0.013092763,-0.013403326,0.023371149,0.025967207,0.0064222952,-0.008723599,0.0063384795,-0.010408873,-0.005487659,0.013908735,0.006125195,-0.002560085,-0.001065687,0.0034968515,-0.0017714845,0.0028207556
7,patient5_B1,-8.571576,-2.620254,-0.835293,-0.05565584,-0.02025552,0.07258702,0.4802601,0.26502913,0.4956784,-0.059821192,-0.05281203,-0.020466737,-0.04218079,0.1648624,0.08430994,-0.0034852687,0.013503717,0.04065639,-0.0193492,-0.00063482404,-0.0049731038,0.012134536,-0.010398289,0.0035973499,0.005765583,0.013638897,-0.005872266,0.007867612,0.005057719,0.009510983,0.0009519774,-3.0372894e-05,-0.006446949,0.004474017,-0.0035754207,0.0037768106,0.00146122,0.0005528568,-0.0059022848,-0.012500111,-0.0006342279,-0.010760763,-0.0022197468,-0.0054935995,0.0022011076,-0.002681508,-0.0044279527,-0.0016769833,0.0024756028,-0.0017030323
8,patient5_B12,-8.586616,-2.3233736,-0.78755206,-0.102943026,-0.035438124,-0.07541555,0.350282,0.20656309,0.18604486,-0.28324702,0.15936485,-0.03532113,0.005877448,-0.05949015,-0.1199965,0.0026663903,0.0013320715,-0.08561807,0.042629473,0.0005051575,0.032754894,-0.01499033,0.024557406,0.0115676,-0.018748432,-0.0005813365,0.023366695,-0.002450717,0.028353376,-0.013376885,0.011198523,0.008446782,-0.004073938,0.007179198,-0.016602151,0.0028141802,0.0009846803,-0.012059121,-0.01245062,-0.02396092,-0.0002001795,-0.018437775,-0.0065217987,-0.012191417,0.0041424595,-0.0036944111,-0.008598972,-0.0024460054,0.005691736,-0.000327753
9,patient5_B13,-8.342813,-2.2419214,-0.059352387,0.06595759,-0.025620246,0.20989391,-0.42294455,-0.26232585,0.44260693,-0.030077413,0.32300267,0.27530006,0.08843226,-0.13999565,0.10473023,0.038445596,-0.024719538,-0.07737539,-0.005071292,-0.0052964687,0.0102660395,-0.008975095,0.004306048,-0.00634093,-0.00090657896,-0.009268781,0.003877008,-0.0108397845,-0.00014992453,-0.007977984,0.0065397797,-0.0016655904,0.0031924262,-0.002193212,0.009261284,0.0025578632,0.0014913706,-0.0013281023,0.0037099062,0.008367028,0.0012017079,0.0044640405,0.0019070803,0.0036443344,-0.0015165098,0.001299177,0.0017339662,0.0013994332,-0.0033422457,0.00039537103
