,index,cluster
0,patient5_A12,2
1,patient5_A14,0
2,patient5_A20,0
3,patient5_A22,0
4,patient5_A4,0
5,patient5_A5,3
6,patient5_A6,2
7,patient5_B1,0
8,patient5_B12,0
9,patient5_B13,0
10,patient5_B14,0
11,patient5_B15,2
12,patient5_B16,0
13,patient5_B18,0
14,patient5_B19,0
15,patient5_B20,4
16,patient5_B23,0
17,patient5_B24,0
18,patient5_B3,0
19,patient5_B4,0
20,patient5_B5,2
21,patient5_B6,0
22,patient5_B7,0
23,patient5_C10,2
24,patient5_C12,2
25,patient5_C14,0
26,patient5_C18,0
27,patient5_C2,0
28,patient5_C4,0
29,patient5_C5,0
30,patient5_C7,2
31,patient5_C8,0
32,patient5_D1,0
33,patient5_D10,1
34,patient5_D12,0
35,patient5_D14,0
36,patient5_D15,0
37,patient5_D17,0
38,patient5_D18,0
39,patient5_D2,0
40,patient5_D22,2
41,patient5_D23,2
42,patient5_D3,2
43,patient5_D5,0
44,patient5_D6,2
45,patient5_D8,0
46,patient5_D9,6
47,patient5_E10,0
48,patient5_E12,0
49,patient5_E14,2
50,patient5_E2,0
51,patient5_E20,0
52,patient5_E22,5
53,patient5_E24,0
54,patient5_E6,0
55,patient5_E7,0
56,patient5_E8,0
57,patient5_E9,0
58,patient5_F1,0
59,patient5_F10,3
60,patient5_F11,2
61,patient5_F12,3
62,patient5_F13,0
63,patient5_F14,2
64,patient5_F15,1
65,patient5_F16,0
66,patient5_F18,0
67,patient5_F19,0
68,patient5_F2,0
69,patient5_F20,0
70,patient5_F22,0
71,patient5_F23,2
72,patient5_F3,0
73,patient5_F4,2
74,patient5_F5,0
75,patient5_F7,0
76,patient5_F8,0
77,patient5_G10,1
78,patient5_G12,0
79,patient5_G13,0
80,patient5_G14,0
81,patient5_G15,0
82,patient5_G16,0
83,patient5_G18,0
84,patient5_G2,6
85,patient5_G22,0
86,patient5_G23,0
87,patient5_G6,0
88,patient5_G8,0
89,patient5_H1,0
90,patient5_H10,2
91,patient5_H11,0
92,patient5_H12,0
93,patient5_H14,0
94,patient5_H15,0
95,patient5_H16,1
96,patient5_H17,2
97,patient5_H22,0
98,patient5_H23,0
99,patient5_H3,0
100,patient5_H4,2
101,patient5_H5,0
102,patient5_H6,0
103,patient5_H7,0
104,patient5_H9,0
105,patient5_I11,0
106,patient5_I12,2
107,patient5_I13,0
108,patient5_I16,0
109,patient5_I17,0
110,patient5_I18,2
111,patient5_I19,0
112,patient5_I2,0
113,patient5_I20,0
114,patient5_I22,0
115,patient5_I4,0
116,patient5_I5,0
117,patient5_I6,0
118,patient5_I8,0
119,patient5_J1,0
120,patient5_J11,0
121,patient5_J12,6
122,patient5_J13,0
123,patient5_J15,1
124,patient5_J17,0
125,patient5_J18,0
126,patient5_J19,2
127,patient5_J2,0
128,patient5_J20,2
129,patient5_J21,0
130,patient5_J22,0
131,patient5_J23,0
132,patient5_J24,0
133,patient5_J3,0
134,patient5_J5,0
135,patient5_J7,5
136,patient5_J8,2
137,patient5_K13,6
138,patient5_K15,2
139,patient5_K16,1
140,patient5_K20,6
141,patient5_K23,2
142,patient5_K3,0
143,patient5_K4,0
