,index,patient5,patient6,patient7
0,SGIP1,0.3072521636228314,0.31100277155245803,0.3144761514085518
1,AZIN2,0.66599995450454,0.6610542073742149,0.6545928244084129
2,CLIC4,1.8722198760718274,1.94529227209903,2.0346008733047407
3,AGBL4,0.30158911912363073,0.29765051090160327,0.29221062263487485
4,NECAP2,2.474776930826327,2.5235813110501892,2.583200473566319
5,SLC45A1,0.49240828827620425,0.4862391090162232,0.47822498495750815
6,TGFBR3,1.1331338004429714,1.1596050468677332,1.1878153572735795
7,DBT,1.3899152786815347,1.3980928067563365,1.4077297504074893
8,RFWD2,2.3053319093062496,2.3358195105742956,2.3725628702893595
9,C1orf21,1.4655432258516807,1.4412380854174005,1.4136692916725555
10,PRUNE,3.7963447677678954,3.741506214338981,3.6739192805002907
11,LIN9,0.24474144953212912,0.2511743387480301,0.25908229081946527
12,PRKCZ,0.926032045220391,0.9346929553228522,0.9450324356056631
13,PRDM16,0.8938205223254624,0.9242734883044033,0.9617094200593695
14,C1orf159,0.6956531982389725,0.7066147931718479,0.7203096124961057
15,CAMTA1,4.238469624099964,4.217609322239262,4.193625508463636
16,ICMT,3.622496480376505,3.6264109694215634,3.6308028824770817
17,LOC391003,0.0,0.0,0.0
18,PRAMEF10,0.0,0.0,0.0
19,LOC645382,0.0,0.0,0.0
20,EPHB2,1.1067071202195997,1.1444790414103045,1.19097746280685
21,PINK1,2.454272305987511,2.485425405125743,2.522423758261177
22,USP48,2.9457974469028376,2.9531762369081984,2.961139224785954
23,PINK1-AS,0.603688717670656,0.6078861280057868,0.6128174330063877
24,EPB41,1.5133152251590194,1.514788415835754,1.5163511265805836
25,KHDRBS1,5.09027891818608,5.1031735028687155,5.117775286676833
26,EYA3,2.831292638789265,2.808774659313623,2.781107283512821
27,NUDC,6.079817225135383,6.078504019211073,6.0779957197213355
28,PUM1,5.132342963760061,5.1229952517383595,5.1110804525108335
29,STMN1,7.383849260472266,7.292549225463183,7.181315382641803
30,THRAP3,6.235082452380993,6.233240121454515,6.231090036210789
31,SFPQ,4.227143394758603,4.243361892759528,4.261985966513515
32,CSMD2,0.16329140812237422,0.17271990563999112,0.1842623470205042
33,MACF1,5.787043366825993,5.787010103976858,5.7868054085569325
34,TRABD2B,0.12053530864724508,0.128666379254926,0.13862714218892572
35,PTPRF,6.268798146178181,6.322475041156854,6.388117233934658
36,GPBP1L1,3.9958195254609628,4.008725647392806,4.023883301930559
37,RNF220,2.6198238584590814,2.6285392878432217,2.638769147650556
38,TCEANC2,0.6642638960523426,0.6697378171693478,0.6765066564264296
39,SCP2,8.426560920921382,8.381760052928323,8.327483195098486
40,DAB1,0.15829316055103385,0.1578080199274676,0.15665185310885216
41,RAB3B,8.637146389722115,8.396832586193488,8.101068338646371
42,USP24,2.135736539974656,2.1327144405253264,2.1283421911627083
43,FAF1,2.091428198041564,2.0979907195221523,2.1054418366818823
44,FGGY,1.5827000095997497,1.603160585169605,1.6281798639012133
45,NFIA,2.398040379788196,2.460196779101954,2.5356051196724034
46,USP1,2.6710214531131773,2.6652253921812448,2.6564485939385794
47,CACHD1,0.21375455548135672,0.22323705931772414,0.23456022252827585
48,LEPR,1.1437343151512402,1.1505051058593954,1.1557133289118076
49,ITGB3BP,1.4847075597891048,1.4844820631327076,1.4838953704897386
50,NEGR1,0.6351712119696702,0.6308752406030194,0.624124856607787
51,LRRC7,0.00887627941047688,0.009394739224707339,0.010036605835267734
52,ST6GALNAC3,0.0307530297689688,0.03194369537516444,0.033365339772654885
53,PIGK,3.2813477932972037,3.2534151098328254,3.2188967465472804
54,DDAH1,3.552496065202998,3.5854291000256096,3.6267216920538052
55,CLCA4,0.009982469051970354,0.009522003762417793,0.00898545754025752
56,LRRC8C,0.16657603047534375,0.17134139408279805,0.17695668401475845
57,PKN2-AS1,0.008671367823973191,0.008937328650837455,0.00927060621663478
58,FAM69A,0.7138910099602435,0.7250865572707627,0.7387009279229374
59,GCLM,4.646885142405811,4.632551791579538,4.6141958728140215
60,LOC729970,0.4995243737140099,0.49832750270025766,0.4972378374166908
61,NTNG1,0.06216801656764943,0.06301806202636807,0.06384143558616054
62,PHTF1,1.7310785890469798,1.731797307566612,1.732562509591352
63,KCNA2,0.006711826230350007,0.006531676053509186,0.00631026169050791
64,GNAI3,4.731510491798544,4.776587685503461,4.8301204098150885
65,RAP1A,2.6620833541832214,2.665607028766728,2.670032832950692
66,RHOC,5.37287136359477,5.559635036496246,5.793053307061401
67,NOTCH2,1.4925466686567133,1.5927125501121415,1.7160934772873913
68,WDR3,1.2157439067270441,1.2352957189201663,1.2589276643067382
69,PDZK1,1.5552692542977065,1.5208914446092867,1.48047271244685
70,NBPF10,0.20137744562063067,0.2121842899477789,0.2255143699649667
71,NBPF9,0.0,0.0,0.0
72,NBPF20,0.0,0.0,0.0
73,NBPF8,0.027072338633406766,0.027014325149567284,0.02691809875709604
74,NBPF25P,0.0,0.0,0.0
75,OTUD7B,0.8180999492227374,0.8302909466823505,0.8452488967369014
76,TPM3,6.470568009276576,6.4777936736441415,6.48540083782605
77,GBAP1,0.3677092049600414,0.3669993046869655,0.36596472263265023
78,SMG5,3.3930045234191883,3.404736555799522,3.4188515215098
79,FCGR2A,0.11505436831307271,0.11609432086074298,0.11746533379335874
80,PBX1,2.7731158624656813,2.772057677414469,2.7704576775865646
81,LOC440700,0.013206818747704158,0.012970677750490366,0.012673744128029634
82,DNM3,0.38258429032420177,0.3809003005413683,0.37790036704390806
83,MROH9,0.0010865135207936227,0.0011567797345283968,0.0012419985165877084
84,TNFSF18,0.0020875932328522423,0.0022596471662626543,0.002470076612720788
85,TNN,0.0036293853016063395,0.00382300544247029,0.00406134126534067
86,BRINP2,0.02681388269450032,0.026367306408318993,0.025828486788150532
87,SOAT1,5.808823167632324,5.831079083588365,5.856769895817425
88,ACBD6,2.706921243228974,2.7153712092874946,2.72528198332323
89,SMG7,2.9240991914368184,2.925858969997111,2.9261981023153183
90,RGSL1,0.0,0.0,0.0
91,RASAL2,1.630559308869134,1.6432699029157398,1.6582696884303825
92,PTGS2,0.0649415155311439,0.06754980297327388,0.07063876243570387
93,ZBTB41,2.551957324813296,2.5137599147671477,2.467535687263071
94,NEK7,2.096531108265688,2.106250886612926,2.1177130493537355
95,SRGAP2C,0.0,0.0,0.0
96,SRGAP2,0.7741979971361043,0.7711317835938154,0.7671099479118831
97,SRGAP2D,0.0,0.0,0.0
98,PPP1R12B,1.3512302797477687,1.3548531596056332,1.3588354944579384
99,SRGAP2B,0.0,0.0,0.0
100,HHAT,0.5628442325485862,0.5770493236775648,0.5938126527069415
101,ESRRG,1.0749865535756962,1.0623626579032108,1.0465017650418535
102,BATF3,0.027340268554321076,0.027303534357893476,0.027295090779960982
103,USH2A,0.17899733693209283,0.17098587946857022,0.16150653407263652
104,EPRS,6.057346332571578,6.067214014280483,6.076473919197026
105,RNU5F-1,0.0012317868175968673,0.0011951789164630904,0.0011517933769896898
106,DNAH14,1.3360676784835037,1.3228957612920673,1.3063229097535292
